Feature Value,Feature name,type
amplitude,PD,0
amplitude,PD,0.030672252
amplitude,Intact,0.833239807
amplitude,Intact,0.430095257
amplitude,Intact,0.365524834
amplitude,Intact,0.576642328
amplitude,Intact,0.043234247
amplitude,Intact,0
amplitude,Intact,0.879281319
amplitude,Intact,0.491297256
amplitude,Intact,0.384053745
amplitude,Intact,0.963503706
amplitude,Intact,0.750702
amplitude,Intact,0.772599703
amplitude,Intact,0.978101929
amplitude,Intact,0.806288363
amplitude,Intact,0.801796886
amplitude,Intact,0.331836174
amplitude,Intact,0.122964493
amplitude,Intact,0.139808971
amplitude,Intact,0.993823574
amplitude,Intact,0.599663084
amplitude,Intact,0.542953299
amplitude,Intact,0.985401041
amplitude,Intact,0.774283915
amplitude,Intact,0.7866364
amplitude,Intact,0.756316532
amplitude,Intact,0.266704224
amplitude,Intact,0.271757229
amplitude,Intact,1
amplitude,Intact,0.797304672
amplitude,Intact,0.742840994
